,Name,Price
163,Python による 数値解析入門　第１１巻　モンテカルロ法,￥0
164,Data Science from Scratch: First Principles With Python,"￥5,223"
165,ハイパフォーマンスPython,"￥3,888"
166,Make Art with Python: Programming for Creative People,"￥4,228"
167,PythonでWebサービスを作る - Python3 + Flaskで作るWebアプリケーション開発入門 - その3,￥0
168,Python Programming: A Step-by-Step Guide From Absolute Beginners to Complete Guide for Intermediates and Advanced,"￥1,584"
169,5日間で学ぶPython　基礎プログラミング編,￥864
170,"PYTHON HANDBOOK VOL 2, 2 MANUSCRIPTS IN 1 PYTHON ADVANCED + PYTHON FOR DATA ANALYSIS: HOW TO MASTER PYTHON PROGRAMMING AND USE IT FOR THE DATA ANALYSIS","￥2,480"
171,Text Analytics with Python: A Practitioner's Guide to Natural Language Processing,"￥4,147"
172,Django for Beginners: Build websites with Python and Django,"￥4,630"
173,Pythonをおぼえた人がGUIアプリケーション開発をするためのtkinter速習入門: 標準ライブラリでGUI作成,￥0
174,"Print ""Feck the World"": Beginners' Programming Tutorial using Python",￥720
175,Pythonで学ぶ統計的機械学習,"￥3,024"
176,5日間で学ぶPython　AIプログラミング編,￥864
177,ラズパイで入門!Linux I/Oプログラミング教科書 (ボード・コンピュータ・シリーズ),"￥3,240"
178,TensorFlow機械学習クックブック Pythonベースの活用レシピ60+ (impress top gear),"￥4,536"
179,Automate the Boring Stuff with Python: Practical Programming for Total Beginners (English Edition),"￥2,000"
180,PYTHON PER STUDENTI: UN’INTRODUZIONE “SEMPLICEMENTE DIDATTICA” ALLA PROGRAMMAZIONE,"￥2,544"
181,たった1日で基本が身に付く!  Python超入門,"￥2,225"
182,実例で学ぶExcelを生かすPythonプログラミング mission3,￥0
183,機械学習エンジニアになりたい人のための本 AIを天職にする (AI&TECHNOLOGY),"￥2,138"
184,Deep Learning with Python: A Hands-On Guide for Beginners,"￥2,360"
185,テトリス風ゲーム作りで学ぶ初めてのPython(標準モジュール)プログラミング,￥0
186,Making Games With Pygame Zero: An Introduction to Python Programming,￥746
187,Hands-On Transfer Learning with Python,"￥5,311"
188,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython (English Edition)","￥3,781"
189,見て試してわかる機械学習アルゴリズムの仕組み 機械学習図鑑,"￥2,894"
190,線形代数(1): Pythonによる科学技術計算 実践編 [リフロー版],￥0
191,日経ソフトウエア 2019年7月号 [雑誌],"￥1,599"
192,Matplotlib&Seaborn実装ハンドブック (Pythonライブラリ定番セレクション),"￥2,700"
193,"Natural Language Processing in Action: Understanding, analyzing, and generating text with Python","￥5,944"
194,Automate the Boring Stuff with Python: Practical Programming for Total Beginners (English Edition),"￥2,000"
195,Easy Learning Design Patterns Python 3: Reusable Object-Oriented Software,"￥4,773"
196,Pythonによるテキストマイニング入門,"￥2,700"
